filepath,machine,condition,label
dataset/MIMII/valve/normal/00000021.wav,valve,normal,Valve_Normal
dataset/MIMII/fan/abnormal/00000008.wav,fan,abnormal,Fan_Anomaly
dataset/MIMII/slider/normal/00000036.wav,slider,normal,SlideRail_Normal
dataset/MIMII/fan/normal/00000017.wav,fan,normal,Fan_Normal
dataset/MIMII/slider/abnormal/00000008.wav,slider,abnormal,SlideRail_Anomaly
dataset/MIMII/valve/normal/00000039.wav,valve,normal,Valve_Normal
dataset/MIMII/fan/normal/00000039.wav,fan,normal,Fan_Normal
dataset/MIMII/slider/normal/00000024.wav,slider,normal,SlideRail_Normal
dataset/MIMII/pump/normal/00000013.wav,pump,normal,Pump_Normal
dataset/MIMII/slider/normal/00000004.wav,slider,normal,SlideRail_Normal
dataset/MIMII/slider/normal/00000013.wav,slider,normal,SlideRail_Normal
dataset/MIMII/valve/abnormal/00000049.wav,valve,abnormal,Valve_Anomaly
dataset/MIMII/slider/abnormal/00000034.wav,slider,abnormal,SlideRail_Anomaly
dataset/MIMII/fan/abnormal/00000018.wav,fan,abnormal,Fan_Anomaly
dataset/MIMII/pump/normal/00000016.wav,pump,normal,Pump_Normal
dataset/MIMII/pump/abnormal/00000017.wav,pump,abnormal,Pump_Anomaly
dataset/MIMII/valve/abnormal/00000021.wav,valve,abnormal,Valve_Anomaly
dataset/MIMII/fan/abnormal/00000031.wav,fan,abnormal,Fan_Anomaly
dataset/MIMII/valve/normal/00000046.wav,valve,normal,Valve_Normal
dataset/MIMII/valve/normal/00000010.wav,valve,normal,Valve_Normal
dataset/MIMII/fan/abnormal/00000001.wav,fan,abnormal,Fan_Anomaly
dataset/MIMII/slider/normal/00000043.wav,slider,normal,SlideRail_Normal
dataset/MIMII/pump/abnormal/00000049.wav,pump,abnormal,Pump_Anomaly
dataset/MIMII/pump/abnormal/00000018.wav,pump,abnormal,Pump_Anomaly
dataset/MIMII/slider/abnormal/00000043.wav,slider,abnormal,SlideRail_Anomaly
dataset/MIMII/slider/abnormal/00000047.wav,slider,abnormal,SlideRail_Anomaly
dataset/MIMII/fan/abnormal/00000027.wav,fan,abnormal,Fan_Anomaly
dataset/MIMII/fan/abnormal/00000049.wav,fan,abnormal,Fan_Anomaly
dataset/MIMII/slider/normal/00000030.wav,slider,normal,SlideRail_Normal
dataset/MIMII/slider/normal/00000000.wav,slider,normal,SlideRail_Normal
dataset/MIMII/fan/normal/00000040.wav,fan,normal,Fan_Normal
dataset/MIMII/pump/abnormal/00000042.wav,pump,abnormal,Pump_Anomaly
dataset/MIMII/pump/abnormal/00000015.wav,pump,abnormal,Pump_Anomaly
dataset/MIMII/valve/normal/00000038.wav,valve,normal,Valve_Normal
dataset/MIMII/slider/abnormal/00000007.wav,slider,abnormal,SlideRail_Anomaly
dataset/MIMII/valve/abnormal/00000026.wav,valve,abnormal,Valve_Anomaly
dataset/MIMII/slider/abnormal/00000021.wav,slider,abnormal,SlideRail_Anomaly
dataset/MIMII/valve/normal/00000004.wav,valve,normal,Valve_Normal
dataset/MIMII/fan/normal/00000005.wav,fan,normal,Fan_Normal
dataset/MIMII/slider/abnormal/00000031.wav,slider,abnormal,SlideRail_Anomaly
dataset/MIMII/valve/abnormal/00000031.wav,valve,abnormal,Valve_Anomaly
dataset/MIMII/valve/normal/00000019.wav,valve,normal,Valve_Normal
dataset/MIMII/fan/normal/00000007.wav,fan,normal,Fan_Normal
dataset/MIMII/fan/abnormal/00000040.wav,fan,abnormal,Fan_Anomaly
dataset/MIMII/fan/normal/00000020.wav,fan,normal,Fan_Normal
dataset/MIMII/pump/normal/00000015.wav,pump,normal,Pump_Normal
dataset/MIMII/valve/normal/00000003.wav,valve,normal,Valve_Normal
dataset/MIMII/fan/normal/00000048.wav,fan,normal,Fan_Normal
dataset/MIMII/pump/normal/00000023.wav,pump,normal,Pump_Normal
dataset/MIMII/slider/abnormal/00000026.wav,slider,abnormal,SlideRail_Anomaly
dataset/MIMII/fan/abnormal/00000026.wav,fan,abnormal,Fan_Anomaly
dataset/MIMII/valve/normal/00000047.wav,valve,normal,Valve_Normal
dataset/MIMII/valve/normal/00000040.wav,valve,normal,Valve_Normal
dataset/MIMII/slider/abnormal/00000046.wav,slider,abnormal,SlideRail_Anomaly
dataset/MIMII/valve/abnormal/00000002.wav,valve,abnormal,Valve_Anomaly
dataset/MIMII/valve/abnormal/00000042.wav,valve,abnormal,Valve_Anomaly
dataset/MIMII/fan/abnormal/00000045.wav,fan,abnormal,Fan_Anomaly
dataset/MIMII/slider/abnormal/00000004.wav,slider,abnormal,SlideRail_Anomaly
dataset/MIMII/pump/abnormal/00000023.wav,pump,abnormal,Pump_Anomaly
dataset/MIMII/slider/abnormal/00000017.wav,slider,abnormal,SlideRail_Anomaly
dataset/MIMII/valve/normal/00000016.wav,valve,normal,Valve_Normal
dataset/MIMII/fan/abnormal/00000010.wav,fan,abnormal,Fan_Anomaly
dataset/MIMII/pump/normal/00000040.wav,pump,normal,Pump_Normal
dataset/MIMII/slider/abnormal/00000019.wav,slider,abnormal,SlideRail_Anomaly
dataset/MIMII/fan/normal/00000024.wav,fan,normal,Fan_Normal
dataset/MIMII/pump/abnormal/00000021.wav,pump,abnormal,Pump_Anomaly
dataset/MIMII/slider/normal/00000042.wav,slider,normal,SlideRail_Normal
dataset/MIMII/fan/normal/00000026.wav,fan,normal,Fan_Normal
dataset/MIMII/valve/normal/00000007.wav,valve,normal,Valve_Normal
dataset/MIMII/pump/normal/00000030.wav,pump,normal,Pump_Normal
dataset/MIMII/valve/normal/00000013.wav,valve,normal,Valve_Normal
dataset/MIMII/slider/normal/00000005.wav,slider,normal,SlideRail_Normal
dataset/MIMII/valve/normal/00000037.wav,valve,normal,Valve_Normal
dataset/MIMII/fan/abnormal/00000032.wav,fan,abnormal,Fan_Anomaly
dataset/MIMII/valve/abnormal/00000040.wav,valve,abnormal,Valve_Anomaly
dataset/MIMII/pump/normal/00000032.wav,pump,normal,Pump_Normal
dataset/MIMII/slider/normal/00000014.wav,slider,normal,SlideRail_Normal
dataset/MIMII/valve/abnormal/00000035.wav,valve,abnormal,Valve_Anomaly
dataset/MIMII/pump/abnormal/00000009.wav,pump,abnormal,Pump_Anomaly
dataset/MIMII/fan/normal/00000021.wav,fan,normal,Fan_Normal
dataset/MIMII/slider/normal/00000029.wav,slider,normal,SlideRail_Normal
dataset/MIMII/pump/abnormal/00000000.wav,pump,abnormal,Pump_Anomaly
dataset/MIMII/fan/abnormal/00000028.wav,fan,abnormal,Fan_Anomaly
dataset/MIMII/pump/abnormal/00000003.wav,pump,abnormal,Pump_Anomaly
dataset/MIMII/fan/abnormal/00000030.wav,fan,abnormal,Fan_Anomaly
dataset/MIMII/valve/abnormal/00000028.wav,valve,abnormal,Valve_Anomaly
dataset/MIMII/pump/normal/00000047.wav,pump,normal,Pump_Normal
dataset/MIMII/pump/normal/00000026.wav,pump,normal,Pump_Normal
dataset/MIMII/fan/normal/00000015.wav,fan,normal,Fan_Normal
dataset/MIMII/valve/abnormal/00000048.wav,valve,abnormal,Valve_Anomaly
dataset/MIMII/valve/abnormal/00000025.wav,valve,abnormal,Valve_Anomaly
dataset/MIMII/fan/normal/00000034.wav,fan,normal,Fan_Normal
dataset/MIMII/valve/normal/00000006.wav,valve,normal,Valve_Normal
dataset/MIMII/fan/normal/00000043.wav,fan,normal,Fan_Normal
dataset/MIMII/slider/abnormal/00000010.wav,slider,abnormal,SlideRail_Anomaly
dataset/MIMII/valve/abnormal/00000010.wav,valve,abnormal,Valve_Anomaly
dataset/MIMII/valve/abnormal/00000019.wav,valve,abnormal,Valve_Anomaly
dataset/MIMII/pump/normal/00000004.wav,pump,normal,Pump_Normal
dataset/MIMII/valve/abnormal/00000020.wav,valve,abnormal,Valve_Anomaly
dataset/MIMII/valve/abnormal/00000015.wav,valve,abnormal,Valve_Anomaly
dataset/MIMII/pump/normal/00000046.wav,pump,normal,Pump_Normal
dataset/MIMII/fan/abnormal/00000043.wav,fan,abnormal,Fan_Anomaly
dataset/MIMII/fan/abnormal/00000007.wav,fan,abnormal,Fan_Anomaly
dataset/MIMII/valve/normal/00000017.wav,valve,normal,Valve_Normal
dataset/MIMII/slider/abnormal/00000020.wav,slider,abnormal,SlideRail_Anomaly
dataset/MIMII/slider/normal/00000002.wav,slider,normal,SlideRail_Normal
dataset/MIMII/fan/abnormal/00000035.wav,fan,abnormal,Fan_Anomaly
dataset/MIMII/pump/normal/00000017.wav,pump,normal,Pump_Normal
dataset/MIMII/slider/abnormal/00000030.wav,slider,abnormal,SlideRail_Anomaly
dataset/MIMII/fan/normal/00000037.wav,fan,normal,Fan_Normal
dataset/MIMII/valve/abnormal/00000037.wav,valve,abnormal,Valve_Anomaly
dataset/MIMII/fan/normal/00000028.wav,fan,normal,Fan_Normal
dataset/MIMII/pump/abnormal/00000036.wav,pump,abnormal,Pump_Anomaly
dataset/MIMII/slider/abnormal/00000041.wav,slider,abnormal,SlideRail_Anomaly
dataset/MIMII/valve/abnormal/00000045.wav,valve,abnormal,Valve_Anomaly
dataset/MIMII/fan/abnormal/00000014.wav,fan,abnormal,Fan_Anomaly
dataset/MIMII/valve/normal/00000028.wav,valve,normal,Valve_Normal
dataset/MIMII/pump/abnormal/00000034.wav,pump,abnormal,Pump_Anomaly
dataset/MIMII/pump/normal/00000024.wav,pump,normal,Pump_Normal
dataset/MIMII/valve/abnormal/00000029.wav,valve,abnormal,Valve_Anomaly
dataset/MIMII/pump/normal/00000002.wav,pump,normal,Pump_Normal
dataset/MIMII/pump/abnormal/00000045.wav,pump,abnormal,Pump_Anomaly
dataset/MIMII/pump/normal/00000025.wav,pump,normal,Pump_Normal
dataset/MIMII/slider/abnormal/00000003.wav,slider,abnormal,SlideRail_Anomaly
dataset/MIMII/valve/abnormal/00000018.wav,valve,abnormal,Valve_Anomaly
dataset/MIMII/fan/abnormal/00000029.wav,fan,abnormal,Fan_Anomaly
dataset/MIMII/valve/normal/00000049.wav,valve,normal,Valve_Normal
dataset/MIMII/pump/abnormal/00000024.wav,pump,abnormal,Pump_Anomaly
dataset/MIMII/fan/abnormal/00000016.wav,fan,abnormal,Fan_Anomaly
dataset/MIMII/pump/normal/00000038.wav,pump,normal,Pump_Normal
dataset/MIMII/fan/normal/00000013.wav,fan,normal,Fan_Normal
dataset/MIMII/pump/abnormal/00000001.wav,pump,abnormal,Pump_Anomaly
dataset/MIMII/valve/normal/00000005.wav,valve,normal,Valve_Normal
dataset/MIMII/slider/abnormal/00000036.wav,slider,abnormal,SlideRail_Anomaly
dataset/MIMII/valve/abnormal/00000030.wav,valve,abnormal,Valve_Anomaly
dataset/MIMII/fan/normal/00000006.wav,fan,normal,Fan_Normal
dataset/MIMII/fan/normal/00000044.wav,fan,normal,Fan_Normal
dataset/MIMII/pump/abnormal/00000043.wav,pump,abnormal,Pump_Anomaly
dataset/MIMII/slider/abnormal/00000033.wav,slider,abnormal,SlideRail_Anomaly
dataset/MIMII/fan/normal/00000036.wav,fan,normal,Fan_Normal
dataset/MIMII/fan/normal/00000047.wav,fan,normal,Fan_Normal
dataset/MIMII/fan/abnormal/00000004.wav,fan,abnormal,Fan_Anomaly
dataset/MIMII/slider/normal/00000049.wav,slider,normal,SlideRail_Normal
dataset/MIMII/slider/abnormal/00000005.wav,slider,abnormal,SlideRail_Anomaly
dataset/MIMII/slider/abnormal/00000042.wav,slider,abnormal,SlideRail_Anomaly
dataset/MIMII/slider/normal/00000011.wav,slider,normal,SlideRail_Normal
dataset/MIMII/valve/normal/00000018.wav,valve,normal,Valve_Normal
dataset/MIMII/slider/abnormal/00000009.wav,slider,abnormal,SlideRail_Anomaly
dataset/MIMII/valve/abnormal/00000047.wav,valve,abnormal,Valve_Anomaly
dataset/MIMII/slider/abnormal/00000024.wav,slider,abnormal,SlideRail_Anomaly
dataset/MIMII/pump/abnormal/00000040.wav,pump,abnormal,Pump_Anomaly
dataset/MIMII/slider/abnormal/00000022.wav,slider,abnormal,SlideRail_Anomaly
dataset/MIMII/pump/normal/00000008.wav,pump,normal,Pump_Normal
dataset/MIMII/fan/abnormal/00000039.wav,fan,abnormal,Fan_Anomaly
dataset/MIMII/pump/abnormal/00000016.wav,pump,abnormal,Pump_Anomaly
dataset/MIMII/fan/abnormal/00000037.wav,fan,abnormal,Fan_Anomaly
dataset/MIMII/valve/abnormal/00000043.wav,valve,abnormal,Valve_Anomaly
dataset/MIMII/fan/abnormal/00000047.wav,fan,abnormal,Fan_Anomaly
dataset/MIMII/valve/normal/00000036.wav,valve,normal,Valve_Normal
dataset/MIMII/valve/abnormal/00000013.wav,valve,abnormal,Valve_Anomaly
dataset/MIMII/valve/abnormal/00000034.wav,valve,abnormal,Valve_Anomaly
dataset/MIMII/valve/normal/00000025.wav,valve,normal,Valve_Normal
dataset/MIMII/valve/normal/00000032.wav,valve,normal,Valve_Normal
dataset/MIMII/pump/normal/00000022.wav,pump,normal,Pump_Normal
dataset/MIMII/valve/normal/00000000.wav,valve,normal,Valve_Normal
dataset/MIMII/valve/abnormal/00000032.wav,valve,abnormal,Valve_Anomaly
dataset/MIMII/slider/normal/00000044.wav,slider,normal,SlideRail_Normal
dataset/MIMII/valve/abnormal/00000009.wav,valve,abnormal,Valve_Anomaly
dataset/MIMII/fan/abnormal/00000019.wav,fan,abnormal,Fan_Anomaly
dataset/MIMII/valve/abnormal/00000016.wav,valve,abnormal,Valve_Anomaly
dataset/MIMII/valve/normal/00000035.wav,valve,normal,Valve_Normal
dataset/MIMII/fan/abnormal/00000034.wav,fan,abnormal,Fan_Anomaly
dataset/MIMII/pump/abnormal/00000037.wav,pump,abnormal,Pump_Anomaly
dataset/MIMII/fan/normal/00000046.wav,fan,normal,Fan_Normal
dataset/MIMII/pump/abnormal/00000014.wav,pump,abnormal,Pump_Anomaly
dataset/MIMII/slider/normal/00000037.wav,slider,normal,SlideRail_Normal
dataset/MIMII/valve/abnormal/00000039.wav,valve,abnormal,Valve_Anomaly
dataset/MIMII/slider/normal/00000008.wav,slider,normal,SlideRail_Normal
dataset/MIMII/slider/normal/00000017.wav,slider,normal,SlideRail_Normal
dataset/MIMII/valve/normal/00000030.wav,valve,normal,Valve_Normal
dataset/MIMII/pump/abnormal/00000019.wav,pump,abnormal,Pump_Anomaly
dataset/MIMII/valve/normal/00000027.wav,valve,normal,Valve_Normal
dataset/MIMII/valve/abnormal/00000027.wav,valve,abnormal,Valve_Anomaly
dataset/MIMII/slider/normal/00000035.wav,slider,normal,SlideRail_Normal
dataset/MIMII/fan/abnormal/00000033.wav,fan,abnormal,Fan_Anomaly
dataset/MIMII/slider/normal/00000021.wav,slider,normal,SlideRail_Normal
dataset/MIMII/pump/abnormal/00000044.wav,pump,abnormal,Pump_Anomaly
dataset/MIMII/slider/normal/00000018.wav,slider,normal,SlideRail_Normal
dataset/MIMII/valve/normal/00000014.wav,valve,normal,Valve_Normal
dataset/MIMII/slider/abnormal/00000015.wav,slider,abnormal,SlideRail_Anomaly
dataset/MIMII/pump/abnormal/00000035.wav,pump,abnormal,Pump_Anomaly
dataset/MIMII/slider/normal/00000022.wav,slider,normal,SlideRail_Normal
dataset/MIMII/pump/abnormal/00000031.wav,pump,abnormal,Pump_Anomaly
dataset/MIMII/fan/abnormal/00000022.wav,fan,abnormal,Fan_Anomaly
dataset/MIMII/fan/normal/00000022.wav,fan,normal,Fan_Normal
dataset/MIMII/slider/normal/00000045.wav,slider,normal,SlideRail_Normal
dataset/MIMII/slider/normal/00000040.wav,slider,normal,SlideRail_Normal
dataset/MIMII/slider/normal/00000003.wav,slider,normal,SlideRail_Normal
dataset/MIMII/fan/abnormal/00000009.wav,fan,abnormal,Fan_Anomaly
dataset/MIMII/valve/abnormal/00000004.wav,valve,abnormal,Valve_Anomaly
dataset/MIMII/valve/abnormal/00000044.wav,valve,abnormal,Valve_Anomaly
dataset/MIMII/pump/abnormal/00000026.wav,pump,abnormal,Pump_Anomaly
dataset/MIMII/fan/normal/00000049.wav,fan,normal,Fan_Normal
dataset/MIMII/pump/normal/00000011.wav,pump,normal,Pump_Normal
dataset/MIMII/pump/normal/00000045.wav,pump,normal,Pump_Normal
dataset/MIMII/pump/abnormal/00000029.wav,pump,abnormal,Pump_Anomaly
dataset/MIMII/fan/abnormal/00000000.wav,fan,abnormal,Fan_Anomaly
dataset/MIMII/fan/abnormal/00000013.wav,fan,abnormal,Fan_Anomaly
dataset/MIMII/pump/normal/00000001.wav,pump,normal,Pump_Normal
dataset/MIMII/valve/normal/00000002.wav,valve,normal,Valve_Normal
dataset/MIMII/pump/normal/00000044.wav,pump,normal,Pump_Normal
dataset/MIMII/pump/normal/00000010.wav,pump,normal,Pump_Normal
dataset/MIMII/pump/normal/00000043.wav,pump,normal,Pump_Normal
dataset/MIMII/pump/normal/00000006.wav,pump,normal,Pump_Normal
dataset/MIMII/fan/abnormal/00000024.wav,fan,abnormal,Fan_Anomaly
dataset/MIMII/fan/normal/00000035.wav,fan,normal,Fan_Normal
dataset/MIMII/pump/normal/00000019.wav,pump,normal,Pump_Normal
dataset/MIMII/valve/abnormal/00000033.wav,valve,abnormal,Valve_Anomaly
dataset/MIMII/valve/abnormal/00000023.wav,valve,abnormal,Valve_Anomaly
dataset/MIMII/pump/abnormal/00000046.wav,pump,abnormal,Pump_Anomaly
dataset/MIMII/slider/normal/00000009.wav,slider,normal,SlideRail_Normal
dataset/MIMII/valve/normal/00000011.wav,valve,normal,Valve_Normal
dataset/MIMII/pump/abnormal/00000011.wav,pump,abnormal,Pump_Anomaly
dataset/MIMII/fan/abnormal/00000048.wav,fan,abnormal,Fan_Anomaly
dataset/MIMII/valve/normal/00000009.wav,valve,normal,Valve_Normal
dataset/MIMII/pump/normal/00000048.wav,pump,normal,Pump_Normal
dataset/MIMII/slider/abnormal/00000012.wav,slider,abnormal,SlideRail_Anomaly
dataset/MIMII/slider/abnormal/00000011.wav,slider,abnormal,SlideRail_Anomaly
dataset/MIMII/slider/abnormal/00000013.wav,slider,abnormal,SlideRail_Anomaly
dataset/MIMII/pump/normal/00000049.wav,pump,normal,Pump_Normal
dataset/MIMII/pump/normal/00000012.wav,pump,normal,Pump_Normal
dataset/MIMII/slider/abnormal/00000018.wav,slider,abnormal,SlideRail_Anomaly
dataset/MIMII/fan/normal/00000029.wav,fan,normal,Fan_Normal
dataset/MIMII/slider/normal/00000047.wav,slider,normal,SlideRail_Normal
dataset/MIMII/pump/abnormal/00000025.wav,pump,abnormal,Pump_Anomaly
dataset/MIMII/fan/abnormal/00000023.wav,fan,abnormal,Fan_Anomaly
dataset/MIMII/pump/normal/00000020.wav,pump,normal,Pump_Normal
dataset/MIMII/fan/normal/00000019.wav,fan,normal,Fan_Normal
dataset/MIMII/fan/normal/00000031.wav,fan,normal,Fan_Normal
dataset/MIMII/valve/normal/00000041.wav,valve,normal,Valve_Normal
dataset/MIMII/pump/abnormal/00000002.wav,pump,abnormal,Pump_Anomaly
dataset/MIMII/fan/normal/00000018.wav,fan,normal,Fan_Normal
dataset/MIMII/slider/abnormal/00000039.wav,slider,abnormal,SlideRail_Anomaly
dataset/MIMII/slider/normal/00000046.wav,slider,normal,SlideRail_Normal
dataset/MIMII/fan/normal/00000025.wav,fan,normal,Fan_Normal
dataset/MIMII/slider/abnormal/00000027.wav,slider,abnormal,SlideRail_Anomaly
dataset/MIMII/pump/normal/00000037.wav,pump,normal,Pump_Normal
dataset/MIMII/slider/normal/00000006.wav,slider,normal,SlideRail_Normal
dataset/MIMII/fan/normal/00000041.wav,fan,normal,Fan_Normal
dataset/MIMII/slider/normal/00000015.wav,slider,normal,SlideRail_Normal
dataset/MIMII/slider/abnormal/00000032.wav,slider,abnormal,SlideRail_Anomaly
dataset/MIMII/fan/normal/00000003.wav,fan,normal,Fan_Normal
